mention_id,week_of,captured_at,captured_by,entity,platform,source_name,url,post_date,item_type,author_type,role_or_dept,title_or_snippet,one_line_summary,sentiment,themes,rating_given,engagement,names_individual,red_flag,red_flag_reason,status,notes
M-20260808-001,2026-08-08,2026-09-22,desk,rk_world,glassdoor,Glassdoor,https://www.glassdoor.co.in/Reviews/Employee-Review-Rk-Worldinfocom-E8268877-RVW105157672.htm,2026-08-12,review,current_employee,,,good company to work for,positive,culture,5,,no,no,,reviewed,
M-20260829-001,2026-08-29,2026-09-22,desk,rk_group,ambitionbox,AmbitionBox,https://www.ambitionbox.com/reviews/r-dot-k-dot-group-reviews,2026-09-03,review,anonymous,,,"Describes internal politics, says longer-serving staff escalate to directors rather than work with newer employees",negative,management|culture,2,,no,no,,reviewed,
M-20260905-002,2026-09-05,2026-09-22,desk,rk_world,ambitionbox,AmbitionBox,https://www.ambitionbox.com/reviews/r-k-world-infocom-reviews,2026-09-10,review,current_employee,,,"Praises supportive team and outings, says salary is well below market with no promotions",mixed,compensation|growth_learning|culture,2,,no,no,,reviewed,
M-20260808-002,2026-08-08,2026-09-23,desk,robust_kommerce,linkedin,Company page,https://www.linkedin.com/posts/robust-kommerce-india_leadership-businessstrategy-teamculture-activity-7492466837209636865-K6VS,2026-08-10,post,company,,,Company post tagged #leadership #businessstrategy #teamculture,,"culture,management",,,,,,reviewed,
M-20260808-003,2026-08-08,2026-09-23,desk,robust_kommerce,linkedin,Company page,https://www.linkedin.com/posts/robust-kommerce-india_mango-mangoman-gurugram-ugcPost-7493528587313143808-9vew,2026-08-13,post,company,,,,,,,,,,,out_of_scope,
