week_of,captured_at,captured_by,entity,platform,overall_rating,review_count,recommend_pct,ceo_approval_pct,work_life_balance,salary_benefits,job_security,career_growth,culture,url,notes
2026-09-21,2026-09-21,desk,rk_group,ambitionbox,2.70,27,,,2.9,2.7,2.9,2.5,2.1,https://www.ambitionbox.com/reviews/r-dot-k-dot-group-reviews,"SCOPE: Bengaluru-filtered, not all locations. GENDER SPLIT: women 1.7 (7 reviews) vs men 3.5 (19) - a 1.8 point gap. Skill Development 2.3."
2026-09-21,2026-09-21,desk,rk_group,glassdoor,3.60,16,56,,,,,,,https://www.glassdoor.co.in/Reviews/RK-Group-Reviews-E653077.htm,"SCOPE: Bangalore-filtered view only, not all locations - 16 reviews is the Bangalore subset. 69% positive business outlook. Glassdoor classifies RK Group as Manufacturing; industry average 3.5. All-locations figure still needed."
2026-09-21,2026-09-21,desk,rk_world,ambitionbox,3.00,51,,,3.2,2.6,3.0,2.4,3.3,https://www.ambitionbox.com/reviews/r-k-world-infocom-reviews,All locations. AmbitionBox flags 23% below industry average. Women 3.0 (16) vs men 3.2 (29). Skill Development 3.4; Work Satisfaction 3.1.
2026-09-21,2026-09-21,desk,rk_world,glassdoor,4.00,20,78,,3.5,3.7,,4.2,4.2,https://www.glassdoor.co.in/Reviews/Rk-Worldinfocom-Reviews-E8268877.htm,"20 written reviews. Diversity and inclusion 3.9; Senior management 3.7. Company size 201-500 employees, private. Employer Profile NOT claimed."
2026-09-21,2026-09-21,desk,robust_kommerce,glassdoor,4.00,7,75,,3.9,4.0,,3.8,3.8,https://www.glassdoor.co.in/Reviews/Robust-Reviews-E1882698.htm,Listed on Glassdoor as plain 'Robust' (employer id 1882698) - identity still to be confirmed as Robust Kommerce. Diversity and inclusion 4.2; Senior management 3.1. Company size 51-200 employees. Employer Profile NOT claimed.
2026-09-21,2026-09-21,desk,valuecart,glassdoor,4.70,14,91,,,,,,,,Listed on Glassdoor as 'ValueCart.in'. 89% positive business outlook. Category sub-scores not captured. Glassdoor URL still needed for the sweep worksheet.
2026-09-21,2026-09-21,desk,westbury_kommerce,ambitionbox,3.30,18,,,3.6,3.3,3.8,,3.4,https://www.ambitionbox.com/reviews/westbury-kommerce-reviews,"All locations. Highly rated for job security; critically rated for promotions, work satisfaction, skill development. 142 salary entries, 14 followers."
2026-09-21,2026-09-21,desk,westbury_kommerce,glassdoor,2.40,2,0,,3.3,2.1,,2.6,4.4,https://www.glassdoor.co.in/Reviews/Westbury-Kommerce-Reviews-E6166527.htm,Diversity and inclusion 2.0; Senior management 1.0; 'Be the first to recommend' = 0% recommend
